LE_x,LE_y,LE_z,TE_x,TE_y,TE_z,is_strut,profile_number,d_tube,x_camber,y_camber,delta_te_angle,chord
0.52218,4.100957,0.921215,0.86682,4.152601,0.932607,False,prof_1,0.1837401335882308,0.175,0.095,7.236059407808,0.6126678176850813
0.263184,4.105533,0.971623,0.874727,4.141856,0.979216,False,prof_2,0.0788201065048211,0.175,0.0943989,7.190368107183929,2.3411412161529257
0.028112,4.099444,1.049881,0.887481,4.124523,1.054402,False,prof_3,0.0782455219828932,0.175,0.0931918,7.09858931152246,2.425340073026667
-0.183243,4.085799,1.154511,0.904737,4.101072,1.156125,False,prof_4,0.0778048283060423,0.175,0.0913686,6.959991849812752,2.494189682376423
-0.368472,4.065552,1.28343,0.926149,4.071974,1.282342,False,prof_5,0.0774738261221235,0.175,0.0889127,6.77307867106407,2.5484994079002647
-0.522929,4.039112,1.43433,0.951369,4.0377,1.431014,False,prof_6,0.0772367956750012,0.175,0.0857993,6.535954253411632,2.588817910589696
-0.639766,4.006563,1.604842,0.980052,3.998721,1.600098,False,prof_7,0.0770843584417728,0.175,0.0819918,6.245645663242954,2.61551116303697
-0.709238,3.967978,1.791356,1.011852,3.955506,1.787553,True,prof_8,0.0769999920939645,0.175,0.0774354,5.89778958283452,2.62880546471986
-0.79088,3.80535,2.209568,1.189372,3.789238,2.199439,False,prof_9,0.0769999920939645,0.175,0.0720449,5.4857603163031,2.62880546471986
-0.864219,3.501223,2.540205,1.256822,3.485499,2.522089,False,prof_10,0.131075032683328,0.175,0.0656764,4.998180839539486,0.8597467498298553
-0.929298,3.134335,2.796493,1.310901,3.116753,2.773988,True,prof_11,0.1036781577453383,0.175,0.0580515,4.413496767844407,1.0880883925145972
-0.986158,2.7983,3.092998,1.354755,2.780285,3.065722,False,prof_12,0.0872295732744705,0.0395115,0.0405837,2.4194934259466265,1.2946373853203066
-1.034831,2.393198,3.288677,1.390237,2.380855,3.254511,False,prof_13,0.0766805595131155,0.1698522432354119,0.0532971423663086,4.017724967780509,1.474302405344304
-1.075348,1.959729,3.398648,1.41853,1.946587,3.361473,True,prof_14,0.0698647554531404,0.1570527761512228,0.0486996612855361,3.620410445793709,1.6198439294030769
-1.107733,1.553762,3.587398,1.440421,1.540958,3.547442,False,prof_15,0.0880585272944216,0.1302726495684775,0.0445818628528827,3.221588390954849,1.7211393905471457
-1.132004,1.111239,3.671702,1.456442,1.107796,3.627957,False,prof_16,0.0818347949026424,0.0756325507491519,0.0413752157933378,2.8212890716246197,1.980343449174663
-1.148177,0.664252,3.658834,1.466944,0.660721,3.613797,True,prof_17,0.0805359612271219,0.049066294269511,0.0401799778014563,2.419543557580738,2.12117664453317
-1.156262,0.225013,3.741837,1.472144,0.220752,3.696209,False,prof_18,0.0795641444833332,0.0395115,0.0405837,2.4194934259466265,2.2403810303941607
-1.156262,-0.225013,3.741837,1.472144,-0.220752,3.696209,False,prof_18,0.0795641444833332,0.0395115,0.0405837,2.4194934259466265,2.2403810303941607
-1.148177,-0.664252,3.658834,1.466944,-0.660721,3.613797,True,prof_17,0.0805359612271219,0.049066294269511,0.0401799778014563,2.419543557580738,2.12117664453317
-1.132004,-1.111239,3.671702,1.456442,-1.107796,3.627957,False,prof_16,0.0818347949026424,0.0756325507491519,0.0413752157933378,2.8212890716246197,1.980343449174663
-1.107733,-1.553762,3.587398,1.440421,-1.540958,3.547442,False,prof_15,0.0880585272944216,0.1302726495684775,0.0445818628528827,3.221588390954849,1.7211393905471457
-1.075348,-1.959729,3.398648,1.41853,-1.946587,3.361473,True,prof_14,0.0698647554531404,0.1570527761512228,0.0486996612855361,3.620410445793709,1.6198439294030769
-1.034831,-2.393198,3.288677,1.390237,-2.380855,3.254511,False,prof_13,0.0766805595131155,0.1698522432354119,0.0532971423663086,4.017724967780509,1.474302405344304
-0.986158,-2.7983,3.092998,1.354755,-2.780285,3.065722,False,prof_12,0.0872295732744705,0.0395115,0.0405837,2.4194934259466265,1.2946373853203066
-0.929298,-3.134335,2.796493,1.310901,-3.116753,2.773988,True,prof_11,0.1036781577453383,0.175,0.0580515,4.413496767844407,1.0880883925145972
-0.864219,-3.501223,2.540205,1.256822,-3.485499,2.522089,False,prof_10,0.131075032683328,0.175,0.0656764,4.998180839539486,0.8597467498298553
-0.79088,-3.80535,2.209568,1.189372,-3.789238,2.199439,False,prof_9,0.0769999920939645,0.175,0.0720449,5.4857603163031,2.62880546471986
-0.709238,-3.967978,1.791356,1.011852,-3.955506,1.787553,True,prof_8,0.0769999920939645,0.175,0.0774354,5.89778958283452,2.62880546471986
-0.639766,-4.006563,1.604842,0.980052,-3.998721,1.600098,False,prof_7,0.0770843584417728,0.175,0.0819918,6.245645663242954,2.61551116303697
-0.522929,-4.039112,1.43433,0.951369,-4.0377,1.431014,False,prof_6,0.0772367956750012,0.175,0.0857993,6.535954253411632,2.588817910589696
-0.368472,-4.065552,1.28343,0.926149,-4.071974,1.282342,False,prof_5,0.0774738261221235,0.175,0.0889127,6.77307867106407,2.5484994079002647
-0.183243,-4.085799,1.154511,0.904737,-4.101072,1.156125,False,prof_4,0.0778048283060423,0.175,0.0913686,6.959991849812752,2.494189682376423
0.028112,-4.099444,1.049881,0.887481,-4.124523,1.054402,False,prof_3,0.0782455219828932,0.175,0.0931918,7.09858931152246,2.425340073026667
0.263184,-4.105533,0.971623,0.874727,-4.141856,0.979216,False,prof_2,0.0788201065048211,0.175,0.0943989,7.190368107183929,2.3411412161529257
0.52218,-4.100957,0.921215,0.86682,-4.152601,0.932607,False,prof_1,0.1837401335882308,0.175,0.095,7.236059407808,0.6126678176850813
